Customer_ID,Customer_Name,Customer_Segment,Region,City,Customer_Status,Acquisition_Channel
C0051,Customer 0051,Retail,Central,Bhopal,Active,Online
C0052,Customer 0052,Enterprise,West,Pune,Active,Branch
C0053,Customer 0053,SME,North,Jaipur,Active,Branch
C0054,Customer 0054,Enterprise,East,Bhubaneswar,Inactive,Relationship Manager
C0055,Customer 0055,Enterprise,Central,Bhopal,Active,Branch
C0056,Customer 0056,Retail,South,Hyderabad,Active,Relationship Manager
C0057,Customer 0057,Retail,East,Kolkata,Inactive,Relationship Manager
C0058,Customer 0058,SME,Central,Bhopal,Active,Online
C0059,Customer 0059,Retail,West ,Chandigarh,Active,Branch
C0060,Customer 0060,SME,North,Chandigarh,Active,Relationship Manager
C0061,Customer 0061,Enterprise,North,Chandigarh,Active,Branch
C0062,Customer 0062,Corporate,South,Bengaluru,Active,Branch
C0063,Customer 0063,Corporate,South,Chennai,Active,Online
C0064,Customer 0064,Enterprise,North,Chandigarh,Active,Online
C0065,Customer 0065,SME,Central,Nagpur,Active,Online
C0066,Customer 0066,Retail,East,Kolkata,Active,Branch
C0067,Customer 0067,Enterprise,South,Hyderabad,Active,Relationship Manager
C0068,Customer 0068,Retail,Central,Nagpur,Active,Relationship Manager
C0069,Customer 0069,SME,North,Jaipur,Active,Online
C0070,Customer 0070,SME,Central,Indore,Active,Relationship Manager
C0071,Customer 0071,Corporate,South,Bengaluru,Active,Relationship Manager
C0072,Customer 0072,Corporate,West,Mumbai,Active,Relationship Manager
C0073,Customer 0073,Corporate,West,Mumbai,Active,Branch
C0074,Customer 0074,Corporate,South,Bengaluru,Inactive,Relationship Manager
C0075,Customer 0075,Retail,West,Mumbai,Active,Relationship Manager
C0076,Customer 0076,Retail,South,Chennai,Active,Branch
C0077,Customer 0077,Retail,South,Chennai,Active,Online
C0078,Customer 0078,SME,East,Guwahati,Active,Relationship Manager
C0079,Customer 0079,Corporate,North,Chandigarh,Inactive,Relationship Manager
C0080,Customer 0080,SME,South,Bengaluru,Active,Branch
C0081,Customer 0081,SME,North,Chandigarh,Active,Branch
C0082,Customer 0082,Corporate,South,Bengaluru,Active,Branch
C0083,Customer 0083,Enterprise,North,Delhi,Active,Branch
C0084,Customer 0084,Corporate,East,Kolkata,Active,Online
C0085,Customer 0085,Enterprise,South,Chennai,Active,Online
C0086,Customer 0086,Corporate,East,Guwahati,Inactive,Relationship Manager
C0087,Customer 0087,Corporate,Central,Bhopal,Active,Branch
C0088,Customer 0088,Corporate,South,Bengaluru,Active,Relationship Manager
C0089,Customer 0089,Corporate,West,Ahmedabad,Active,Branch
C0090,Customer 0090,Retail,Central,Indore,Active,Branch
C0091,Customer 0091,Enterprise,North,Delhi,Active,Branch
C0092,Customer 0092,Retail,West,Ahmedabad,active,Relationship Manager
C0093,Customer 0093,Retail,East,Guwahati,Active,Relationship Manager
C0094,Customer 0094,Enterprise,East,Bhubaneswar,Inactive,Relationship Manager
C0095,Customer 0095,SME,East,Kolkata,Inactive,Relationship Manager
C0096,Customer 0096,SME,West,Ahmedabad,Active,Branch
C0097,Customer 0097,Retail,Central,Indore,Active,Online
C0098,Customer 0098,Corporate,West,Pune,Inactive,Branch
C0099,Customer 0099,Enterprise,South,Hyderabad,Active,Relationship Manager
C0100,Customer 0100,Corporate,North,Chandigarh,Active,Online
C0101,Customer 0101,Corporate,South,Bengaluru,Active,Online
C0102,Customer 0102,Retail,North,Delhi,Inactive,Relationship Manager
C0103,Customer 0103,Enterprise,North,Jaipur,Active,Relationship Manager
C0104,Customer 0104,Enterprise,West,Pune,Active,Online
C0105,Customer 0105,Retail,North,Jaipur,Active,Online
C0106,Customer 0106,Enterprise,Central,Bhopal,Active,Online
C0107,Customer 0107,SME,West,Pune,Active,Branch
C0108,Customer 0108,Enterprise,Central,Nagpur,Inactive,Online
C0109,Customer 0109,Enterprise,West,Pune,Active,Relationship Manager
C0110,Customer 0110,Enterprise,East,Guwahati,Active,Branch
C0111,Customer 0111,Retail,West,Ahmedabad,Active,Online
C0112,Customer 0112,Corporate,East,Bhubaneswar,Active,Online
C0113,Customer 0113,SME,South,Chennai,Active,Relationship Manager
C0114,Customer 0114,Retail,South,Chennai,Inactive,Branch
C0115,Customer 0115,Enterprise,Central,Indore,Active,Online
C0116,Customer 0116,Enterprise,West,Ahmedabad,Active,Relationship Manager
C0117,Customer 0117,Enterprise,West,Mumbai,Active,Branch
C0118,Customer 0118,Enterprise,West,Ahmedabad,Active,Branch
C0119,Customer 0119,Corporate,South,Chennai,Inactive,Online
C0120,Customer 0120,Corporate,West,Ahmedabad,Inactive,Relationship Manager
